City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,date
0,Satellite Beach,28.1761,-80.5901,92.05,68,0,12.66,US,2022-08-30 16:25:49
1,Yuanping,38.7153,112.7575,62.1,63,2,1.5,CN,2022-08-30 16:25:50
2,Busselton,-33.65,115.3333,50.67,83,10,8.34,AU,2022-08-30 16:25:50
3,Atuona,-9.8,-139.0333,76.73,69,59,22.21,PF,2022-08-30 16:25:51
4,Zhangye,38.9342,100.4517,71.51,28,100,2.77,CN,2022-08-30 16:25:51
5,Castro,-24.7911,-50.0119,56.52,64,93,12.1,BR,2022-08-30 16:25:51
6,Ushuaia,-54.8,-68.3,47.86,61,40,4.61,AR,2022-08-30 16:21:41
7,Saint George,37.1041,-113.5841,86.79,31,0,5.75,US,2022-08-30 16:25:52
8,Hofn,64.2539,-15.2082,52.99,98,96,13.24,IS,2022-08-30 16:25:52
9,Nantucket,41.2835,-70.0995,82.54,78,0,11.5,US,2022-08-30 16:21:34
10,Albany,42.6001,-73.9662,88.43,65,29,1.01,US,2022-08-30 16:23:12
11,Dunedin,-45.8742,170.5036,46.4,80,100,7.72,NZ,2022-08-30 16:25:53
12,Shimoda,34.6667,138.95,78.75,90,88,1.05,JP,2022-08-30 16:25:53
13,Mataura,-46.1927,168.8643,43.48,93,94,3.2,NZ,2022-08-30 16:25:54
14,Vaini,-21.2,-175.2,68.16,100,100,5.75,TO,2022-08-30 16:25:54
15,Punta Arenas,-53.15,-70.9167,51.91,58,0,25.32,CL,2022-08-30 16:25:54
16,Katsuura,35.1333,140.3,75.22,92,96,5.95,JP,2022-08-30 16:25:55
17,General Pico,-35.6566,-63.7568,68.45,20,0,19.77,AR,2022-08-30 16:21:20
18,Boa Vista,2.8197,-60.6733,87.78,58,40,6.91,BR,2022-08-30 16:25:55
19,Pacific Grove,36.6177,-121.9166,64.89,85,0,3.44,US,2022-08-30 16:25:55
