City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,date
0,New Norfolk,-42.7826,147.0587,51.71,81,100,4.0,AU,2022-08-30 19:29:02
1,Zhigansk,66.7697,123.3711,43.61,90,71,5.64,RU,2022-08-30 19:29:02
2,Vaini,-21.2,-175.2,68.16,100,75,6.91,TO,2022-08-30 19:29:04
3,Bengkulu,-3.8004,102.2655,75.34,91,95,4.07,ID,2022-08-30 19:29:05
4,Provideniya,64.3833,-173.3,48.47,98,100,13.18,RU,2022-08-30 19:29:05
5,Lebu,-37.6167,-73.65,54.3,81,100,3.67,CL,2022-08-30 19:29:05
6,Hobart,-42.8794,147.3294,52.05,74,100,11.5,AU,2022-08-30 19:27:12
7,Karpogory,64.0019,44.4451,49.23,83,100,8.63,RU,2022-08-30 19:29:06
8,Kavieng,-2.5744,150.7967,81.18,81,47,12.12,PG,2022-08-30 19:29:06
9,Butaritari,3.0707,172.7902,81.57,77,14,18.32,KI,2022-08-30 19:29:07
10,Andenes,69.3143,16.1194,49.98,87,75,20.71,NO,2022-08-30 19:29:07
11,Saldanha,-33.0117,17.9442,57.25,46,0,19.35,ZA,2022-08-30 19:29:08
12,Bambous Virieux,-20.3428,57.7575,67.21,88,20,3.44,MU,2022-08-30 19:29:08
13,Geraldton,-28.7667,114.6,43.21,87,0,6.91,AU,2022-08-30 19:29:09
14,Dikson,73.5069,80.5464,40.33,96,100,16.17,RU,2022-08-30 19:29:10
15,Puerto Ayora,-0.7393,-90.3518,75.16,85,54,5.01,EC,2022-08-30 19:29:10
16,Faanui,-16.4833,-151.75,77.41,77,25,15.68,PF,2022-08-30 19:29:11
17,Albany,42.6001,-73.9662,84.63,42,100,10.13,US,2022-08-30 19:24:18
18,Ancud,-41.8697,-73.8203,52.23,76,100,4.83,CL,2022-08-30 19:29:11
19,Sitka,57.0531,-135.33,57.09,88,100,9.22,US,2022-08-30 19:29:12
